gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
GRB10	Hannum	4	6.11318347306907e-05	0.000622451616023059	1	3	224
TRMT44	Hannum	4	6.2110235625371e-05	0.00052219907950623	0	4	225
SETD1B	Hannum	4	6.41364232386748e-05	0.000470681300171688	0	4	226
LRRFIP1	Hannum	4	6.61195806508612e-05	0.000762136306250054	0	4	227
HLA-F-AS1, MICE	Hannum	4	6.85531202583606e-05	0.000648515853245258	0	4	228
GRK5	Hannum	4	7.45395559275079e-05	0.000551238477815465	0	4	229
KIF26B	Hannum	4	8.55559167040373e-05	0.000584309475681977	0	4	230
FARP1	Hannum	4	8.98592691806471e-05	0.000523880368359636	0	4	231
RP11-108K14.8, MTG1	Hannum	4	9.52551324125319e-05	0.000353263544988706	0	4	232
STK24	Hannum	4	0.000100605719435971	0.000745547192223578	0	4	233
CRYL1	Hannum	4	0.000101060723971228	0.00129329648958015	1	3	234
PIEZO1	Hannum	4	0.000105831889271077	0.000647611342877095	0	4	235
FAM19A5	Hannum	4	0.00011199614183897	0.000554637150190693	1	3	236
KCNQ1, KCNQ1OT1	Hannum	4	0.000115143606810333	0.00111679553780133	0	4	237
HTRA1	Hannum	4	0.000115800576607831	0.0013307584975047	0	4	238
TPCN2	Hannum	4	0.000116297265438485	0.000553351203554574	0	4	239
AACS	Hannum	4	0.000116823925454677	0.00043153345157057	0	4	240
GLI3	Hannum	4	0.000134013821380238	0.000777428394630785	0	4	241
BAIAP2	Hannum	4	0.000134229203778902	0.000472973062449236	0	4	242
PLCH2	Hannum	4	0.000137343030846803	0.000937467744896353	1	3	243
TRIM62	Hannum	4	0.000137966513474142	0.000633702032489617	0	4	244
FAM53A	Hannum	4	0.000149116196502413	0.000432428517142843	0	4	245
SMYD3	Hannum	4	0.000155179235703205	0.000725972793166305	0	4	246
MACROD1	Hannum	4	0.000157586820143938	0.000327272931142309	0	4	247
NOTCH4	Hannum	4	0.000159670284835792	0.000543475814473833	0	4	248
PTPRS	Hannum	4	0.000164009656016578	0.000439793644537982	0	4	249
CDYL	Hannum	4	0.000167230780875515	0.000807614884115368	0	4	250
GALNS	Hannum	4	0.000172358099510746	0.000592160668905217	0	4	251
WDR20	Hannum	4	0.000172725366861876	0.000671649958853441	0	4	252
OBSL1	Hannum	4	0.00018006923326926	0.000403976024291481	0	4	253
AC006372.4	Hannum	4	0.000182616050473455	0.000422102374222606	0	4	254
HDLBP	Hannum	4	0.000182957309960897	0.000435547795940322	0	4	255
ZNF423	Hannum	4	0.000184820363050215	0.000501352085348575	0	4	256
ZFP41, ZFP41	Hannum	4	0.000187586990695092	0.000464774429229084	0	4	257
HOXA-AS2, HOXA3	Hannum	4	0.000196595251304501	0.000374323327156722	0	4	258
CARD14	Hannum	4	0.000211411254969851	0.000397095550721004	0	4	259
OSBPL5	Hannum	4	0.000212739915956226	0.000790602409952776	0	4	260
FLJ27365	Hannum	4	0.000215291143197814	0.000469196464195217	0	4	261
TMEM175	Hannum	4	0.000221167209239067	0.000422266830152934	0	4	262
ADPRHL1	Hannum	4	0.000236370967480582	0.00044876031044108	0	4	263
TECPR2	Hannum	4	0.000241843871508556	0.00041767544128709	0	4	264
AC019118.2	Hannum	4	0.000244642742931782	0.000495345939776642	0	4	265
PLXNA1	Hannum	4	0.00024753009798757	0.000339599695962853	0	4	266
NDST1	Hannum	4	0.000254875617604384	0.000928701370534696	0	4	267
ATP2A3	Hannum	4	0.000262329705830742	0.000442054176786029	0	4	268
CEP72	Hannum	4	0.000291933957781961	0.000425985638734482	0	4	269
WDR86	Hannum	4	0.000299930136366676	0.000522939785864437	0	4	270
EHMT2	Hannum	4	0.000304057493220336	0.000332097716440299	0	4	271
SNX8	Hannum	4	0.000326295439651178	0.000464553927896912	0	4	272
DPYSL4	Hannum	4	0.000351188593412796	0.000448891088408747	0	4	273
AZI1	Hannum	4	0.000388984515441679	0.000335112274453768	0	4	274
SSH1	Hannum	4	0.000425746595740657	0.000625497118338103	0	4	275
KIF25	Hannum	4	0.000431468027451838	0.000395818530932329	0	4	276
KCNAB2	Hannum	4	0.000440816069781732	0.000320128667466513	1	3	277
TEX22, MTA1	Hannum	4	0.000451044749537341	0.000372522326872003	0	4	278
GNG7	Hannum	4	0.000471712812303771	0.000696295800677645	0	4	279
CIT	Hannum	4	0.000571345068919515	0.000407492845655154	0	4	280
