gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
CHID1	DunedinPACE	4	3.27629422024898e-06	0.0284852552573409	0	4	136
TPO	DunedinPACE	4	9.65987934262412e-06	0.0250497943558309	0	4	137
PDE10A	DunedinPACE	4	3.15902651814454e-05	0.0197107004904886	1	3	138
LMF1	DunedinPACE	4	0.000144818665958331	0.0117397323895897	0	4	139
BTNL2	DunedinPACE	4	0.000603225662099417	0.0331511138957722	0	4	140
NRXN2	DunedinPACE	3	8.2828464807133e-31	0.0479268540237239	0	3	141
CDC42BPB	DunedinPACE	3	2.29462056816646e-22	0.0572728743175584	3	0	142
FLJ27365	DunedinPACE	3	1.06382108558169e-20	0.0482406827204349	0	3	143
IQCE	DunedinPACE	3	1.18479943086383e-20	0.0529780090993738	0	3	144
ABLIM1	DunedinPACE	3	4.95520122729913e-20	0.056595330583106	0	3	145
PIEZO1	DunedinPACE	3	6.32856227911879e-18	0.0403142549168456	0	3	146
EGFL7	DunedinPACE	3	1.46822494066065e-17	0.0402011603692351	0	3	147
HS1BP3	DunedinPACE	3	1.88633399606596e-17	0.0443293045488232	0	3	148
MECOM	DunedinPACE	3	2.80474834356064e-17	0.0426134713769657	0	3	149
ATOH8	DunedinPACE	3	1.03114945526551e-16	0.086258480903793	0	3	150
MAP3K5	DunedinPACE	3	1.46036402207636e-16	0.0723187068060149	0	3	151
NADK	DunedinPACE	3	4.74146153631618e-16	0.0411148375493128	0	3	152
MPO	DunedinPACE	3	6.50727829040265e-16	0.0964075265135708	0	3	153
C1orf132	DunedinPACE	3	8.54480415998332e-16	0.0458391115776099	0	3	154
CXXC5	DunedinPACE	3	9.1890743800445e-16	0.0741152045167976	0	3	155
CACNA2D4	DunedinPACE	3	1.43385065215872e-15	0.0894410125049242	0	3	156
BTBD19	DunedinPACE	3	3.45662931111112e-15	0.0364915627268405	0	3	157
FAM129C	DunedinPACE	3	4.89785509743326e-15	0.0674559558213108	0	3	158
RAB11FIP1	DunedinPACE	3	4.72933887899196e-14	0.0403166881839516	2	1	159
NHSL1	DunedinPACE	3	5.54234213597944e-14	0.0732445809742404	0	3	160
PDLIM4, P4HA2	DunedinPACE	3	6.45798239161276e-14	0.0629291268796634	0	3	161
CHFR	DunedinPACE	3	7.16048241687968e-14	0.0296268342127014	1	2	162
ERG	DunedinPACE	3	1.35670287225274e-13	0.0510705588623506	0	3	163
FKBP5	DunedinPACE	3	1.59007449061447e-13	0.0559420298217091	0	3	164
TSSC1	DunedinPACE	3	4.69766250417926e-13	0.0401609665567592	0	3	165
PEX14	DunedinPACE	3	5.31178168601048e-13	0.0871170620824829	0	3	166
RARG	DunedinPACE	3	6.58505363100286e-13	0.0425740017308925	1	2	167
ENTPD8	DunedinPACE	3	7.51463470457484e-13	0.0356652107174716	0	3	168
CTB-35F21.1	DunedinPACE	3	1.52140216062076e-12	0.0401637132468708	0	3	169
PANX1	DunedinPACE	3	2.42515217507226e-12	0.0546700174394005	0	3	170
ACOT7	DunedinPACE	3	2.71463986357735e-12	0.0447375918568943	0	3	171
NOTCH4	DunedinPACE	3	3.14278409413247e-12	0.0301941319986354	0	3	172
RASSF5	DunedinPACE	3	3.20687032856308e-12	0.0382213702920562	2	1	173
PRDM11	DunedinPACE	3	3.40205733526759e-12	0.0343745806365458	0	3	174
GCNT2	DunedinPACE	3	4.0716219525047e-12	0.0723445520419769	0	3	175
MAML3	DunedinPACE	3	4.15501931884631e-12	0.0772546398996574	0	3	176
EHMT2	DunedinPACE	3	4.8520287123568e-12	0.0142969356835476	0	3	177
SVIL	DunedinPACE	3	6.56825564793423e-12	0.0680905975600957	1	2	178
TRAK1	DunedinPACE	3	6.75889819046979e-12	0.0381088099221885	0	3	179
AC005592.2	DunedinPACE	3	7.90886678877164e-12	0.0436011891715585	0	3	180
PMEPA1	DunedinPACE	3	8.58817366576585e-12	0.0373075495039315	0	3	181
TACC1	DunedinPACE	3	1.10026920397348e-11	0.0157399930260585	0	3	182
VWA7	DunedinPACE	3	1.48713345261487e-11	0.0493258628408422	0	3	183
TRIM2	DunedinPACE	3	1.9189082468825e-11	0.0314187274146484	0	3	184
SLC2A6	DunedinPACE	3	1.92130098389728e-11	0.0580927523137742	0	3	185
PLXNA1	DunedinPACE	3	1.97400324480191e-11	0.0302716891144493	0	3	186
SLC16A3, CSNK1D	DunedinPACE	3	2.36636598351547e-11	0.0380533782602101	0	3	187
WNT10A	DunedinPACE	3	2.48773492479236e-11	0.0232443359161099	0	3	188
MICAL3	DunedinPACE	3	2.5873804236235e-11	0.032659790143536	1	2	189
SORCS2	DunedinPACE	3	2.84314964693243e-11	0.0422357520421538	0	3	190
KLHL29	DunedinPACE	3	2.88385924111686e-11	0.0484075698081364	1	2	191
PACSIN1	DunedinPACE	3	3.17980438538986e-11	0.01995877869302	1	2	192
COL18A1	DunedinPACE	3	3.25244339048052e-11	0.0512190780637375	1	2	193
SLC12A7	DunedinPACE	3	3.89383180101336e-11	0.047891901251987	1	2	194
GPSM1	DunedinPACE	3	4.35945112930063e-11	0.0392059502795424	0	3	195
CXCR5	DunedinPACE	3	4.40390760514425e-11	0.0335775736232731	2	1	196
TRIM40	DunedinPACE	3	4.90057485419413e-11	0.0260226403248883	1	2	197
CD247	DunedinPACE	3	5.02841836875837e-11	0.0470250817666671	1	2	198
SMAD7	DunedinPACE	3	5.3488096710045e-11	0.0457453135101159	0	3	199
BCL11B	DunedinPACE	3	5.69123989851675e-11	0.083150377785044	2	1	200
TBC1D14	DunedinPACE	3	5.72675805857622e-11	0.0451861421604847	0	3	201
ACOX3	DunedinPACE	3	5.84605234498614e-11	0.0299648913973772	0	3	202
ADHFE1	DunedinPACE	3	6.7904586642137e-11	0.0352959762887251	0	3	203
ITPKB	DunedinPACE	3	7.22957421367182e-11	0.0377151999985847	2	1	204
PTRF	DunedinPACE	3	7.79034953126646e-11	0.037948484889396	0	3	205
SNRPD3, GGT1	DunedinPACE	3	8.1992433270036e-11	0.0350607674464769	0	3	206
