outcome,build,nsnp,beta,se,pval,fdr
SCAMP3_O14828_OID21332_v1_Oncology,GRCh37,84,0.0222529783152566,0.009275192520566,0.016431245128787,0.018991043679103
NID1_P14543_OID20362_v1_Cardiometabolic,GRCh37,84,-0.0216612438854385,0.00905632829336506,0.0167643725320476,0.0193668417917845
HDGF_P51858_OID21455_v1_Oncology,GRCh37,84,0.0143889698216213,0.00603988673179157,0.0172037325426663,0.0198649477146637
CNTN3_Q9P232_OID21092_v1_Neurology,GRCh37,84,0.019871639019111,0.00834659837070594,0.017274764531568,0.0199374779988506
SEMA6C_Q9H3T2_OID30531_v1_Inflammation_II,GRCh37,84,-0.0227774625005806,0.00957898959065347,0.0174136019358271,0.0200881589616341
DUSP13_Q6B8I1_OID31394_v1_Oncology_II,GRCh37,84,0.0218288702795546,0.00918590640408645,0.0174851701808243,0.0201611325373953
FZD10_Q9ULW2_OID30931_v1_Neurology_II,GRCh37,84,-0.0228078903374653,0.00960072003081499,0.0175183682416,0.020189815370129
SERPINA11_Q86U17_OID20281_v1_Cardiometabolic,GRCh37,84,-0.0166046569973563,0.00707839571143951,0.0189851673554483,0.0218699031359533
XRCC4_Q13426_OID20869_v1_Neurology,GRCh37,84,-0.0223919606137952,0.00957869861666426,0.0194037003458569,0.0223414224200517
CLEC6A_Q6EIG7_OID21228_v1_Oncology,GRCh37,84,-0.0199641676788886,0.00868763819853973,0.0215619522636748,0.024814656637417
FSTL1_Q12841_OID30254_v1_Cardiometabolic_II,GRCh37,84,0.0217116284960677,0.00945169020175613,0.0216121550405663,0.0248581452294856
GSTT2B_P0CG30_OID31097_v1_Neurology_II,GRCh37,84,-0.0139671865596841,0.00608068897694251,0.021620233484837,0.0248581452294856
TMPRSS11D_O60235_OID31103_v1_Neurology_II,GRCh37,84,0.0210033955580627,0.00917119789482832,0.0220127699733735,0.025297479846236
ENDOU_P21128_OID31498_v1_Oncology_II,GRCh37,84,0.0188449519500806,0.00823082262840245,0.0220469086688902,0.0253247161130339
EFEMP1_Q12805_OID20414_v1_Cardiometabolic,GRCh37,84,0.0193122488673513,0.00846595194268171,0.022538575968682,0.0258772292001999
TCP11_Q8WWU5_OID31267_v1_Oncology_II,GRCh37,84,-0.0218085007987197,0.00958571376735507,0.0228996600932841,0.0262793639481112
DOC2B_Q14184_OID30927_v1_Neurology_II,GRCh37,84,-0.0218362877786006,0.0096082472893384,0.023046623576751,0.0264355124336634
SPINT3_P49223_OID31509_v1_Oncology_II,GRCh37,84,0.0132528322717651,0.00584926304521054,0.0234681131938025,0.0269062583214389
DEFA1_DEFA1B_P59665_OID20344_v1_Cardiometabolic,GRCh37,84,0.0204937461214939,0.00912670655806143,0.0247379736052288,0.0283487595494969
FGFBP2_Q9BYJ0_OID30395_v1_Cardiometabolic_II,GRCh37,84,0.0194337882950155,0.00866409835476882,0.0248952092396313,0.0285154757390678
CXCL8_P10145_OID20997_v1_Neurology,GRCh37,84,-0.0206756891220746,0.00926672123971364,0.0256694509727201,0.0293884323076068
FETUB_Q9UGM5_OID20404_v1_Cardiometabolic,GRCh37,84,0.0194014732736552,0.0087062424355221,0.0258501599708666,0.0295813623062841
GPIHBP1_Q8IV16_OID31469_v1_Oncology_II,GRCh37,84,0.0206066203735794,0.00925803758584413,0.026026999492815,0.0297696844741014
CIAPIN1_Q6FI81_OID21501_v1_Oncology,GRCh37,84,0.0205525837101672,0.00924750421328224,0.0262494931815764,0.0300100237787485
NCS1_P62166_OID21458_v1_Oncology,GRCh37,84,-0.0186573448992563,0.00843338884254692,0.0269446432411879,0.0307902517678389
GAD1_Q99259_OID31166_v1_Oncology_II,GRCh37,84,-0.0214081202907733,0.00968047945123,0.0270030898782945,0.0308425122621198
OPTC_Q9UBM4_OID21362_v1_Oncology,GRCh37,84,0.0195261808261607,0.00887497440631112,0.0277970065398984,0.0317343707603734
GC_P02774_OID30780_v1_Inflammation_II,GRCh37,84,0.0130137183105258,0.00591967390536535,0.0279217299169872,0.0318617670642572
CST3_P01034_OID20400_v1_Cardiometabolic,GRCh37,84,-0.0186840230761396,0.00855931306548822,0.0290440477948015,0.0331268735073759
GUK1_Q16774_OID30148_v1_Cardiometabolic_II,GRCh37,84,-0.0210092753218316,0.00962706016855072,0.0290863117878081,0.0331594889084692
ENPEP_Q07075_OID30135_v1_Cardiometabolic_II,GRCh37,84,-0.0209722398107949,0.00961222399229198,0.0291220728595493,0.0331846635778613
SLMAP_Q14BN4_OID31441_v1_Oncology_II,GRCh37,84,-0.0201646209842394,0.00926382573700735,0.0295025432327441,0.0336024271749471
RNF168_Q8IYW5_OID30506_v1_Inflammation_II,GRCh37,84,-0.0209173900259671,0.00963418384751472,0.0299188020010599,0.0340605413677012
DTX3_Q8N9I9_OID21349_v1_Oncology,GRCh37,84,-0.0186187837623743,0.0085959931761822,0.0303124089090373,0.0344924502876757
IGFBP2_P18065_OID20325_v1_Cardiometabolic,GRCh37,84,0.0197687363495528,0.00914945046403168,0.0307225870185577,0.0349428017379376
XCL1_P47992_OID21398_v1_Oncology,GRCh37,84,-0.0169703756777195,0.00792694117421124,0.0322863025829824,0.036704109684309
CRLF1_O75462_OID20699_v1_Inflammation,GRCh37,84,-0.0192936149466139,0.00901368376490845,0.0323159495391036,0.0367206058931454
