gene_symbol	MTI_continuous	GNN_EXERCISE_SUP_MTI_MULTI_pred	GNN_EXERCISE_SUP_MTI_MULTI_multi_prob	GNN_EXERCISE_SUP_MTI_MULTI_rank_MTIonly	GNN_EXERCISE_SUP_MTI_MULTI_rank_MTIonly_scaled	GNN_EXERCISE_SUP_MTI_MULTI_hybrid_score	GNN_EXERCISE_SUP_MTI_MULTI_rank	GNN_EXERCISE_SUP_MTI_MULTI_rank_scaled	MR_nominal_any
CA11	0.0059506287764316	0.61045265	0.06248613	812	0.7311899237653298	0.2442651	979	0.6758369240967849	True
MFAP5	0.0399877846559974	0.61357087	0.062269736	811	0.7315213788531654	0.24363749	980	0.6755054690089493	True
TFF1	0.208553665598977	0.7129582	0.05859209	791	0.7381504806098773	0.24354023	981	0.6751740139211136	True
BRSK2	-1.31818109164096	-0.86787975	0.116747804	1310	0.5661252900232019	0.24298309	982	0.674842558833278	True
CDH17	0.005867461938821	0.6236359	0.06166237	809	0.7321842890288366	0.24217498	983	0.6745111037454425	True
CDKN1A	0.0	-3.0557466	0.19671857	1883	0.37620152469340407	0.23901984	985	0.6738481935697713	True
C1QTNF9	2.60625038912943	-0.10628049	0.08791744	1086	0.6403712296983759	0.23822618	986	0.6735167384819357	True
CASP7	-0.523060299947231	-0.353854	0.09699453	1171	0.61219754723235	0.23794954	987	0.6731852833941001	True
IL15RA	-1.55747105494006	-0.3787223	0.09759848	1183	0.6082200861783228	0.23601839	988	0.6728538283062645	True
ITGA5	0.0132778522242034	0.8176458	0.053422704	768	0.7457739476300961	0.23542657	989	0.6725223732184289	True
BAP18	-0.0295555911460755	0.57856965	0.06096711	821	0.7282068279748094	0.22760883	991	0.6718594630427577	True
TREML1	0.0454143954995731	0.40306836	0.066879936	883	0.7076566125290024	0.22418635	993	0.6711965528670865	True
FGF7	-0.133297652896561	-0.6688863	0.106307	1265	0.5810407689758038	0.2237597	994	0.670865097779251	True
LSP1	0.285654328906706	0.8104181	0.051761102	769	0.7454424925422605	0.22350568	995	0.6705336426914154	True
NFKBIE	-0.032611199152253	0.19983734	0.074076325	959	0.6824660258534968	0.22238304	996	0.6702021876035797	True
ARID3A	-0.004837537601854	0.1223575	0.076701544	991	0.6718594630427577	0.22096385	998	0.6695392774279085	True
CEND1	-0.0009290575829855	0.12189703	0.07657506	992	0.6715280079549221	0.22007687	999	0.6692078223400729	True
BNIP3L	0.0032741910392917	0.12189703	0.07657506	993	0.6711965528670865	0.22007687	1000	0.6688763672522373	True
HAVCR1	-0.0355493144785851	0.35578984	0.06775264	904	0.7006960556844548	0.21881135	1001	0.6685449121644017	True
MLLT1	-0.0576540197000266	0.2077639	0.072945386	956	0.6834603911170036	0.21719596	1002	0.6682134570765661	True
DNMBP	-0.0025574947782974	-0.14009213	0.08525343	1096	0.6370566788200199	0.21405065	1003	0.6678820019887305	True
TARBP2	-0.0649984623505755	-0.112508126	0.08371602	1088	0.6397083195227047	0.21082863	1004	0.6675505469008949	True
MDH1	3.2910484324285	0.8508483	0.048185494	764	0.7470997679814385	0.21060753	1005	0.6672190918130594	True
CASP3	-6.95902891291645	-1.0116156	0.11656597	1333	0.5585018230029831	0.20911232	1006	0.6668876367252238	True
F2	0.0163293511412167	0.7981367	0.049656376	774	0.7437852171030825	0.20769352	1008	0.6662247265495526	True
S100A16	0.0773328134263838	0.7992902	0.049084842	772	0.7444481272787538	0.20442232	1009	0.665893271461717	True
CDH15	1.09878368053309	-0.31382537	0.09008469	1159	0.6161750082863772	0.20434329	1010	0.6655618163738813	True
TIMP3	0.0485194007830944	0.73463464	0.051042832	786	0.7398077560490554	0.20179918	1011	0.6652303612860457	True
CCL27	-3.52164757021786	0.2630692	0.068395026	933	0.6910838581372224	0.2016595	1012	0.6648989061982101	True
OTUD6B	0.0342562027107833	0.8345022	0.046893824	766	0.7464368578057673	0.19889668	1014	0.6642359960225389	True
NBN	-0.0491959545042348	-0.040245786	0.07901211	1052	0.6516407026847862	0.19820595	1015	0.6639045409347033	True
ARHGAP1	-1.40069544891227	-0.9756588	0.11338072	1328	0.560159098442161	0.19760871	1017	0.6632416307590322	True
CASP9	-2.90227821716223	-0.9756588	0.11338072	1329	0.5598276433543254	0.19760871	1018	0.6629101756711966	True
SLITRK6	-0.0199498517753042	0.07023038	0.07466584	1009	0.665893271461717	0.19650064	1019	0.662578720583361	True
M6PR	-0.0410213931200319	0.72237766	0.050598927	789	0.7388133907855485	0.19626188	1020	0.6622472654955254	True
TJAP1	0.0429304136557896	0.17497082	0.07052747	968	0.6794829300629764	0.19477417	1021	0.6619158104076898	True
BCL2L11	1.81992954404198	-0.431458	0.09276902	1203	0.6015909844216109	0.19414185	1022	0.6615843553198542	True
KIR3DL1	0.174723924377624	-1.2559544	0.12292334	1394	0.5382830626450116	0.19275573	1024	0.6609214451441829	True
VSIR	-0.0811330961297089	0.40311718	0.061142363	882	0.707988067616838	0.1887202	1025	0.6605899900563473	True
BSND	-3.92995183671762	0.5473369	0.055310316	826	0.7265495525356315	0.1855155	1026	0.6602585349685117	True
PRL	0.0044249486109087	0.41263008	0.060194865	880	0.7086509777925091	0.18502879	1027	0.6599270798806761	True
HSD17B3	0.949689265136739	0.5676872	0.054458734	823	0.7275439177991382	0.18488613	1028	0.6595956247928406	True
GET3	-2.94059981542514	-0.312101	0.08668547	1158	0.6165064633742128	0.1837177	1029	0.659264169705005	True
ITGB5	-0.0224687580830163	0.67166233	0.050394956	800	0.735167384819357	0.1834465	1030	0.6589327146171694	True
INSL4	0.0949406216696234	0.71647125	0.048719913	790	0.7384819356977129	0.18329775	1031	0.6586012595293338	True
CD79B	-4.64925038012561	0.099947244	0.0710846	998	0.6695392774279085	0.18112692	1032	0.6582698044414982	True
CDSN	2.17394796727914	0.5045694	0.055664074	839	0.7222406363937687	0.17795941	1033	0.6579383493536626	True
PSMC3	0.0236306317103729	0.7410199	0.04687437	784	0.7404706662247266	0.17747888	1034	0.657606894265827	True
IL3	0.0275581563841237	0.6760024	0.049132794	799	0.7354988399071926	0.17663091	1035	0.6572754391779914	True
PSG1	-0.0786101249247299	0.3037125	0.06280999	919	0.6957242293669208	0.17638493	1036	0.6569439840901558	True
GLP1R	0.143135081332003	0.2940216	0.06309344	923	0.6943984090155784	0.17592977	1037	0.6566125290023201	True
CIT	4.40968501735503	-1.4721576	0.12778315	1462	0.5157441166721909	0.17354926	1038	0.6562810739144845	True
