gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
EHMT1	PhenoAge	5	3.78577725174067e-05	0.000235906590297367	0	5	261
PCNT	PhenoAge	5	4.41094104540459e-05	0.000282595479755337	0	5	262
AP5Z1	PhenoAge	5	4.56521552146451e-05	0.000365211816366024	1	4	263
ESYT2	PhenoAge	5	5.18528691673176e-05	0.000254476937535613	0	5	264
SBF1	PhenoAge	5	8.70030333996501e-05	0.000350318679947683	1	4	265
C6orf10	PhenoAge	5	0.000109070335719846	0.000615992592631096	0	5	266
ESR1	PhenoAge	4	2.32153993984543e-09	0.0007478498628521	0	4	267
PVT1	PhenoAge	4	4.56088242638655e-09	0.000512606031202322	1	3	268
LRRFIP1	PhenoAge	4	5.97061177437212e-09	0.000613694436347553	0	4	269
KAZN	PhenoAge	4	6.82061806606524e-09	0.000375663017090806	0	4	270
PDE4DIP	PhenoAge	4	1.04546386887955e-08	0.000727077606352003	0	4	271
SIM1	PhenoAge	4	1.32128892269588e-08	0.000570388241615203	0	4	272
SORCS2	PhenoAge	4	1.48794667149345e-08	0.000762087994568094	0	4	273
TBC1D14	PhenoAge	4	2.05882027593829e-08	0.000503053286575634	0	4	274
CLPTM1L	PhenoAge	4	2.54423403208733e-08	0.000211386944856856	0	4	275
ARHGAP27	PhenoAge	4	2.68345424065752e-08	0.000673288686933747	0	4	276
RASGEF1A	PhenoAge	4	2.72890642181543e-08	0.000418965173349905	0	4	277
HDLBP	PhenoAge	4	2.76379163301389e-08	0.000326892912742156	0	4	278
BCL11A	PhenoAge	4	2.87772254168203e-08	0.000732520985311222	0	4	279
BIN1	PhenoAge	4	3.80210762503069e-08	0.000487050901575995	0	4	280
ECE1	PhenoAge	4	4.27145236772498e-08	0.000263588452006305	0	4	281
TRIM62	PhenoAge	4	4.47964243645649e-08	0.000577429557500049	0	4	282
ADCK3	PhenoAge	4	4.49811295283592e-08	0.000362534162564254	0	4	283
ITM2C	PhenoAge	4	4.49953075252846e-08	0.000921418330973244	1	3	284
LA16c-444G7.1	PhenoAge	4	4.52267920804432e-08	0.000567159246630954	0	4	285
MGAT5	PhenoAge	4	5.39842491817572e-08	0.000856818927761686	0	4	286
LRPAP1	PhenoAge	4	6.88502880549605e-08	0.000430583465285161	0	4	287
UNC13A	PhenoAge	4	7.22478107151065e-08	0.000290213951140377	0	4	288
KIAA1671	PhenoAge	4	7.41530282299204e-08	0.000554686851050662	0	4	289
