Gene	PC1_nCohorts	PC1_mean_loading	PC1_max_abs_loading	PC1_present_UKB	PC1_present_CKB	PC1_present_NHS1	PC1_organs_collapsed	PC1_consensus2	PC1_consensus3	PC1_abs_mean_loading
MEPE	3	-0.00372944576890496	0.0906617335044446	1	1	1	Brain	1	1	0.00372944576890496
IL9	3	-0.0252398928476549	0.0468941286441031	1	1	1	Brain	1	1	0.0252398928476549
MAG	3	0.024214023213559	0.158522729863951	1	1	1	Brain	1	1	0.024214023213559
PNMA2	3	-0.0166511287751093	0.0614902887290282	1	1	1	Brain	1	1	0.0166511287751093
ANK2	3	-0.0202883705057114	0.0373730731797168	1	1	1	Brain	1	1	0.0202883705057114
CRH	3	-0.00639162899729414	0.0309528037965101	1	1	1	Brain	1	1	0.00639162899729414
SCN2A	3	-0.0216233130145339	0.0521627110510455	1	1	1	Brain	1	1	0.0216233130145339
HTR1A	3	-0.0247578253987364	0.0516462858280484	1	1	1	Brain	1	1	0.0247578253987364
RASGRF1	3	-0.0209144786694223	0.0403864425775961	1	1	1	Brain	1	1	0.0209144786694223
APOD	3	-0.0100696597477707	0.0338324529038192	1	1	1	Brain	1	1	0.0100696597477707
COL28A1	3	-0.00328944612875027	0.0359983952229095	1	1	1	Brain	1	1	0.00328944612875027
IGLON5	3	-0.0133551326346631	0.0272556147451455	1	1	1	Brain	1	1	0.0133551326346631
PMCH	3	-0.0180212454970805	0.0340400410944802	1	1	1	Brain	1	1	0.0180212454970805
CA11	3	-0.0135234747747556	0.0333780999373985	1	1	1	Brain	1	1	0.0135234747747556
KCNIP4	3	-0.00564372439417762	0.0304912958461051	1	1	1	Brain	1	1	0.00564372439417762
CDH15	3	-0.0173280237845069	0.0421606320101288	1	1	1	Brain	1	1	0.0173280237845069
MAPT	3	0.0171959652326515	0.0921951626874748	1	1	1	Brain	1	1	0.0171959652326515
FGF3	2	-0.0222174299337616	0.0307263490940215	1	1	0	Brain	1	0	0.0222174299337616
RGS8	3	-0.00421268216287866	0.0129754761317329	1	1	1	Brain	1	1	0.00421268216287866
CNDP1	3	-0.000789065915841655	0.0154217988412634	1	1	1	Brain	1	1	0.000789065915841655
OXT	3	-0.00342695648416429	0.0266596988939072	1	1	1	Brain	1	1	0.00342695648416429
AMBN	3	0.017568637877016	0.0688155476098796	1	1	1	Brain	1	1	0.017568637877016
MYL3	3	-0.333949132320225	0.602719674228949	1	1	1	Heart	1	1	0.333949132320225
