Gene	PC1_nCohorts	PC1_mean_loading	PC1_max_abs_loading	PC1_present_UKB	PC1_present_CKB	PC1_present_NHS1	PC1_organs_collapsed	PC1_consensus2	PC1_consensus3	PC1_abs_mean_loading
NPHS2	3	-0.0872824862480831	0.279232541628551	1	1	1	Kidney	1	1	0.0872824862480831
CYP24A1	3	0.0660202100325291	0.138264098957618	1	1	1	Kidney	1	1	0.0660202100325291
PTH1R	3	0.186429607076147	0.369366994961418	1	1	1	Kidney	1	1	0.186429607076147
FCAMR	3	0.0911156765092143	0.53502244926793	1	1	1	Kidney	1	1	0.0911156765092143
CALCA	3	0.174265952175402	0.650301070447868	1	1	1	Kidney	1	1	0.174265952175402
IGFBP1	3	0.00634961161549587	0.0359549841025362	1	1	1	Liver	1	1	0.00634961161549587
MBL2	3	-0.00301953865856949	0.0264110706607607	1	1	1	Liver	1	1	0.00301953865856949
DBH	3	0.00483986354099935	0.0299968517669461	1	1	1	Liver	1	1	0.00483986354099935
DHODH	3	0.00327297308270743	0.00665791736124922	1	1	1	Liver	1	1	0.00327297308270743
APOF	3	-0.00818579542920348	0.0761633687592759	1	1	1	Liver	1	1	0.00818579542920348
PKLR	3	-0.00480447781787063	0.0311223128527581	1	1	1	Liver	1	1	0.00480447781787063
C9	3	0.0115964372377817	0.0400383583683763	1	1	1	Liver	1	1	0.0115964372377817
AKR1C4	3	0.00426148989814497	0.0242818670437998	1	1	1	Liver	1	1	0.00426148989814497
CLEC4M	3	0.0247423877990603	0.077131102385703	1	1	1	Liver	1	1	0.0247423877990603
PON1	3	0.0135949646037084	0.0789120284146924	1	1	1	Liver	1	1	0.0135949646037084
LPA	3	0.000282952991929861	0.0396372916029787	1	1	1	Liver	1	1	0.000282952991929861
APOA2	3	0.0188808679333206	0.0617900748537974	1	1	1	Liver	1	1	0.0188808679333206
TDO2	3	0.0121412155513365	0.0438058094171046	1	1	1	Liver	1	1	0.0121412155513365
APOH	3	0.000891801894794751	0.0498379288802355	1	1	1	Liver	1	1	0.000891801894794751
SERPINA11	3	0.0388595351323013	0.0963962510374748	1	1	1	Liver	1	1	0.0388595351323013
ITIH3	3	0.0353821379033371	0.0764851880698878	1	1	1	Liver	1	1	0.0353821379033371
FGL1	3	0.0347147677576844	0.0813404739219675	1	1	1	Liver	1	1	0.0347147677576844
MST1	3	0.00948177330325579	0.107998082279597	1	1	1	Liver	1	1	0.00948177330325579
GDF2	3	0.0319618673247332	0.0977376645883235	1	1	1	Liver	1	1	0.0319618673247332
APOB	3	0.0296180158939828	0.069481672975516	1	1	1	Liver	1	1	0.0296180158939828
HGFAC	3	0.0167542051111916	0.0892032965390266	1	1	1	Liver	1	1	0.0167542051111916
APOM	3	0.033625185286517	0.111485899645204	1	1	1	Liver	1	1	0.033625185286517
GC	3	0.0183021888006972	0.10780097017589	1	1	1	Liver	1	1	0.0183021888006972
CFHR4	3	0.0122111969345228	0.106256997538298	1	1	1	Liver	1	1	0.0122111969345228
ANGPTL3	3	0.0444212389240722	0.112941288267616	1	1	1	Liver	1	1	0.0444212389240722
HAO1	3	0.0246427213089387	0.0837390601017866	1	1	1	Liver	1	1	0.0246427213089387
AGXT	3	0.0279601724315915	0.0847461352533102	1	1	1	Liver	1	1	0.0279601724315915
LBP	3	0.0312982910070797	0.0891450667091269	1	1	1	Liver	1	1	0.0312982910070797
CA5A	3	0.0274613068555847	0.0869842421795173	1	1	1	Liver	1	1	0.0274613068555847
CFHR2	3	0.0300814849161173	0.0945893765838418	1	1	1	Liver	1	1	0.0300814849161173
PGLYRP2	3	0.0180399690776556	0.11362123092233	1	1	1	Liver	1	1	0.0180399690776556
C4BPB	3	0.0354371781098536	0.0923504202394627	1	1	1	Liver	1	1	0.0354371781098536
ANG	3	0.0497637746369036	0.129345530513487	1	1	1	Liver	1	1	0.0497637746369036
SERPINA1	3	0.0417561191386586	0.124702737468578	1	1	1	Liver	1	1	0.0417561191386586
TTR	3	0.0369161152354513	0.154408832659251	1	1	1	Liver	1	1	0.0369161152354513
APOA1	3	0.025459779954712	0.137981392573817	1	1	1	Liver	1	1	0.025459779954712
FETUB	3	0.0545160598723333	0.142274811378417	1	1	1	Liver	1	1	0.0545160598723333
SAA4	3	-0.00332427163710167	0.139579162664864	1	1	1	Liver	1	1	0.00332427163710167
APOC1	3	0.0282050255171444	0.1515946611579	1	1	1	Liver	1	1	0.0282050255171444
ASGR2	3	0.0441583823823785	0.122022526523958	1	1	1	Liver	1	1	0.0441583823823785
LECT2	3	0.032052384420569	0.102059281052575	1	1	1	Liver	1	1	0.032052384420569
FGF21	3	0.0331912302370099	0.102185836257999	1	1	1	Liver	1	1	0.0331912302370099
ADH4	3	0.0280977561523538	0.102271023967077	1	1	1	Liver	1	1	0.0280977561523538
RIDA	3	0.0222538175922269	0.103087791126866	1	1	1	Liver	1	1	0.0222538175922269
FTCD	3	0.0323467272014285	0.105239796545381	1	1	1	Liver	1	1	0.0323467272014285
ITIH1	3	-0.00508665658129725	0.145633057125454	1	1	1	Liver	1	1	0.00508665658129725
CCL16	3	0.0636281094590428	0.145711929179655	1	1	1	Liver	1	1	0.0636281094590428
UPB1	3	0.029224948301401	0.107741031402153	1	1	1	Liver	1	1	0.029224948301401
SERPINA6	3	0.0266002062387228	0.16612537966765	1	1	1	Liver	1	1	0.0266002062387228
AHSG	3	0.0420695703667996	0.119482168707084	1	1	1	Liver	1	1	0.0420695703667996
F12	3	0.0422147587138778	0.130557931469963	1	1	1	Liver	1	1	0.0422147587138778
CFHR5	3	0.049138520118661	0.148104450199147	1	1	1	Liver	1	1	0.049138520118661
SERPINA7	3	0.0332623254454273	0.119272257363487	1	1	1	Liver	1	1	0.0332623254454273
AMBP	3	0.0405780449432571	0.12204233922652	1	1	1	Liver	1	1	0.0405780449432571
INHBC	3	0.0598026578829794	0.139684224453569	1	1	1	Liver	1	1	0.0598026578829794
HRG	3	0.0528607936729646	0.157178822733005	1	1	1	Liver	1	1	0.0528607936729646
ASGR1	3	0.0657535410552849	0.145566191526701	1	1	1	Liver	1	1	0.0657535410552849
C8B	3	0.0203909055225208	0.150831223806997	1	1	1	Liver	1	1	0.0203909055225208
F13B	3	0.0417227300683228	0.175339221728291	1	1	1	Liver	1	1	0.0417227300683228
ORM1	3	0.0335273570876379	0.146799254297117	1	1	1	Liver	1	1	0.0335273570876379
F11	3	0.041943891841377	0.181731123755885	1	1	1	Liver	1	1	0.041943891841377
SERPINC1	3	0.0485263807568498	0.184263163607867	1	1	1	Liver	1	1	0.0485263807568498
C5	3	0.0352957151213473	0.156372269925115	1	1	1	Liver	1	1	0.0352957151213473
F2	3	0.0464761335809838	0.181565039639453	1	1	1	Liver	1	1	0.0464761335809838
PROC	3	0.0733436682964105	0.189846478695269	1	1	1	Liver	1	1	0.0733436682964105
KLKB1	3	0.0344032160286528	0.195162734884289	1	1	1	Liver	1	1	0.0344032160286528
AFM	3	0.0541556956179707	0.160483768825747	1	1	1	Liver	1	1	0.0541556956179707
F9	3	0.063225761963186	0.16347592592584	1	1	1	Liver	1	1	0.063225761963186
F7	3	0.0718042940787554	0.177867136677981	1	1	1	Liver	1	1	0.0718042940787554
APCS	3	0.0646194319302303	0.187129085139197	1	1	1	Liver	1	1	0.0646194319302303
FGA	3	0.0392466033296135	0.175290749666986	1	1	1	Liver	1	1	0.0392466033296135
PLG	3	0.0555151612332194	0.20629605829235	1	1	1	Liver	1	1	0.0555151612332194
ITIH4	3	0.0347807912193736	0.184419935582872	1	1	1	Liver	1	1	0.0347807912193736
A1BG	3	0.0674299036292638	0.189829557272484	1	1	1	Liver	1	1	0.0674299036292638
CPB2	3	0.0610630848637354	0.19566251891821	1	1	1	Liver	1	1	0.0610630848637354
CFB	3	0.0638419901404461	0.192115910814956	1	1	1	Liver	1	1	0.0638419901404461
SERPINF2	3	0.0629582420849685	0.197848211777073	1	1	1	Liver	1	1	0.0629582420849685
SERPIND1	3	0.0762596391928238	0.212054424490539	1	1	1	Liver	1	1	0.0762596391928238
AGER	3	-0.133945481961967	0.450508217770052	1	1	1	Lung	1	1	0.133945481961967
SFTPA2	3	-0.119312663553689	0.457692461308646	1	1	1	Lung	1	1	0.119312663553689
SFTPD	3	-0.0824727854788199	0.418603340076928	1	1	1	Lung	1	1	0.0824727854788199
SCGB3A2	3	-0.245419793459305	0.391810748081796	1	1	1	Lung	1	1	0.245419793459305
ALPP	3	-0.110325370437697	0.369172647260589	1	1	1	Lung	1	1	0.110325370437697
SFTPA1	3	-0.136237845965359	0.341033801555796	1	1	1	Lung	1	1	0.136237845965359
ADAMTS8	3	-0.0373993599912498	0.399704535740369	1	1	1	Lung	1	1	0.0373993599912498
SCGB1A1	3	-0.0912231565743148	0.296279321480495	1	1	1	Lung	1	1	0.0912231565743148
CSF2	3	-0.0892940837466555	0.14602282711788	1	1	1	Lung	1	1	0.0892940837466555
CCL18	3	-0.0182159498336874	0.101727938381642	1	1	1	Lung	1	1	0.0182159498336874
VIPR1	3	-0.070846366372969	0.150561581696893	1	1	1	Lung	1	1	0.070846366372969
FGF6	3	0.0259225259282704	0.0536771229375683	1	1	1	Muscle	1	1	0.0259225259282704
ATP1B4	3	0.170621640803509	0.287212344604624	1	1	1	Muscle	1	1	0.170621640803509
RYR1	3	0.0998940551989535	0.169377020049253	1	1	1	Muscle	1	1	0.0998940551989535
MYH4	3	0.112716250170998	0.196709036012677	1	1	1	Muscle	1	1	0.112716250170998
PRKAG3	3	0.236579865525014	0.401560341297373	1	1	1	Muscle	1	1	0.236579865525014
TMOD4	3	0.189574327356473	0.225254246585155	1	1	1	Muscle	1	1	0.189574327356473
CA3	3	0.147471033767482	0.259531068377594	1	1	1	Muscle	1	1	0.147471033767482
MYL1	3	0.178920777405057	0.205829448958877	1	1	1	Muscle	1	1	0.178920777405057
IDI2	3	0.28055891798189	0.354402594543151	1	1	1	Muscle	1	1	0.28055891798189
MYBPC2	3	0.171851469214532	0.267275410027098	1	1	1	Muscle	1	1	0.171851469214532
ENO3	3	0.20624008172269	0.288179981455884	1	1	1	Muscle	1	1	0.20624008172269
NEB	3	0.277986630678857	0.301746393183049	1	1	1	Muscle	1	1	0.277986630678857
TTN	3	0.394011598450067	0.509281528153457	1	1	1	Muscle	1	1	0.394011598450067
TPM3	3	0.284029113405451	0.32524049364642	1	1	1	Muscle	1	1	0.284029113405451
KLHL41	3	0.332614687023484	0.367322760924707	1	1	1	Muscle	1	1	0.332614687023484
MYLPF	3	0.232029014524066	0.311829072646194	1	1	1	Muscle	1	1	0.232029014524066
MYBPC1	3	0.286879858552669	0.378182398223849	1	1	1	Muscle	1	1	0.286879858552669
PM20D1	3	0.007449802184912	0.0216412567212184	1	1	1	Pancreas	1	1	0.007449802184912
PNLIPRP2	3	0.0543635259321121	0.146159522181717	1	1	1	Pancreas	1	1	0.0543635259321121
KLK1	3	0.0184253382908685	0.0740063551900974	1	1	1	Pancreas	1	1	0.0184253382908685
GCG	3	0.00374837051553758	0.0753178796766573	1	1	1	Pancreas	1	1	0.00374837051553758
REG3G	3	-0.00504224332140059	0.0939342952461608	1	1	1	Pancreas	1	1	0.00504224332140059
PPY	3	0.0138563012165034	0.0861557841084056	1	1	1	Pancreas	1	1	0.0138563012165034
CUZD1	3	0.0152612405545361	0.110890758723414	1	1	1	Pancreas	1	1	0.0152612405545361
GP2	3	0.0259914234965375	0.143534153317912	1	1	1	Pancreas	1	1	0.0259914234965375
REG1A	3	0.0402161659760749	0.111100908240045	1	1	1	Pancreas	1	1	0.0402161659760749
KIRREL2	3	0.0235106128458763	0.140069565703003	1	1	1	Pancreas	1	1	0.0235106128458763
REG1B	3	0.0551071349600319	0.147159524282866	1	1	1	Pancreas	1	1	0.0551071349600319
SPINK1	3	0.0113120881643028	0.144283431491211	1	1	1	Pancreas	1	1	0.0113120881643028
CPA2	3	0.0609142695341895	0.166963086177708	1	1	1	Pancreas	1	1	0.0609142695341895
CLPS	3	0.0542237314188997	0.176590072917706	1	1	1	Pancreas	1	1	0.0542237314188997
AMY2A	3	0.0565556090320541	0.217817739076301	1	1	1	Pancreas	1	1	0.0565556090320541
AMY2B	3	0.0634475014098787	0.224049244425257	1	1	1	Pancreas	1	1	0.0634475014098787
SERPINI2	3	0.0650104526995733	0.216208136031865	1	1	1	Pancreas	1	1	0.0650104526995733
CELA2A	3	0.0742935706246672	0.231420161621876	1	1	1	Pancreas	1	1	0.0742935706246672
CTRL	3	0.0803874743874001	0.232349143847203	1	1	1	Pancreas	1	1	0.0803874743874001
CTRC	3	0.0813396267766732	0.244070653425371	1	1	1	Pancreas	1	1	0.0813396267766732
PLA2G1B	3	0.080804476882133	0.244537994689901	1	1	1	Pancreas	1	1	0.080804476882133
PNLIPRP1	3	0.0928320070362868	0.251771524909104	1	1	1	Pancreas	1	1	0.0928320070362868
CTRB1	3	0.0714452125060568	0.280236071032644	1	1	1	Pancreas	1	1	0.0714452125060568
PRSS2	3	0.0851446190629812	0.267040479348482	1	1	1	Pancreas	1	1	0.0851446190629812
CPB1	3	0.097119465173943	0.281655365367599	1	1	1	Pancreas	1	1	0.097119465173943
CPA1	3	0.0978166241773548	0.28288480032864	1	1	1	Pancreas	1	1	0.0978166241773548
CELA3A	3	0.110349561867426	0.294388131390179	1	1	1	Pancreas	1	1	0.110349561867426
PNLIP	3	0.0971843111666016	0.288349572694143	1	1	1	Pancreas	1	1	0.0971843111666016
