gene_symbol	Clock	n_DMRs	min_FDR	mean_abs_delta	Hyper_regions	Hypo_regions	Rank
COLEC11	Horvath	4	7.0304693031719e-05	0.000567390739107849	0	4	142
RAB11FIP3	Horvath	4	7.53318345533583e-05	0.000301139492042565	0	4	143
WRAP73	Horvath	4	7.62445067972519e-05	0.000295855885778497	0	4	144
SLC45A4	Horvath	4	8.1955564318287e-05	0.000240599542922065	0	4	145
ACSF3	Horvath	4	8.64206168635717e-05	0.00040237226792372	0	4	146
DNAJB6	Horvath	4	8.64206168635717e-05	0.000620814598638598	0	4	147
RADIL	Horvath	4	8.88195805633972e-05	0.00034872237119638	0	4	148
VAV2	Horvath	4	0.000106300437862754	0.000481965701668548	0	4	149
ST14	Horvath	4	0.000107703528387956	0.000403706588225701	0	4	150
TNRC18	Horvath	4	0.000114500755494024	0.000415134750759689	0	4	151
TUBGCP2	Horvath	4	0.000122559701975849	0.000180706553138922	1	3	152
MUC4	Horvath	4	0.000127303648692019	0.000737994666666495	0	4	153
PLEKHG5	Horvath	4	0.000137683269428241	0.000510162652286203	0	4	154
MSANTD1	Horvath	4	0.000157270390917173	0.000429552151088323	0	4	155
ZNRD1-AS1	Horvath	4	0.000157526881951097	0.000443924632258449	0	4	156
CHFR	Horvath	4	0.000158471507450043	0.000311657881133373	0	4	157
COL11A2	Horvath	4	0.000161887659494072	0.000333270552959798	0	4	158
ATP10A	Horvath	4	0.000162830436997939	0.000340602199413593	0	4	159
KIF25	Horvath	4	0.000187373116510843	0.000385231849845425	0	4	160
RBFOX3	Horvath	4	0.000192891455831118	0.000624715389465253	1	3	161
CTD-2281E23.2	Horvath	4	0.000206621439585937	0.000383023795923377	0	4	162
TNXB, ATF6B	Horvath	4	0.000225304283233267	0.000350602015541934	0	4	163
CAPZB	Horvath	4	0.000234552260373854	0.000416963763049714	0	4	164
WNT5B	Horvath	4	0.000243557643409506	0.000321596288382986	0	4	165
TMEM204, IFT140	Horvath	4	0.000253962110709004	0.000617626568496592	0	4	166
TNXB	Horvath	4	0.000255515493453639	0.000361584144878392	0	4	167
HIVEP3	Horvath	4	0.00025985347864945	0.000683070441041456	1	3	168
HSPG2	Horvath	4	0.00026309141695189	0.000296902414777288	1	3	169
INTS1	Horvath	4	0.000283810141045283	0.00031553438635565	0	4	170
SYNGAP1	Horvath	4	0.000285132605856774	0.000304902144713535	1	3	171
ZFP41, ZFP41	Horvath	4	0.000297007068224831	0.000258240083190071	0	4	172
TRIO	Horvath	4	0.000310732267296427	0.000559895056375681	0	4	173
MOG	Horvath	4	0.000312312444347372	0.000446086359329267	0	4	174
MYOM2	Horvath	4	0.000325138861382534	0.000301853054185981	0	4	175
KIF26A	Horvath	4	0.000356582216892185	0.000556865335663534	0	4	176
CHST15	Horvath	4	0.000363104378619919	0.00036282642148641	0	4	177
PDE6B	Horvath	4	0.000371330502836987	0.000365506510272581	0	4	178
MGAT5B	Horvath	4	0.000382365609730922	0.000479421865102262	0	4	179
CTBP1	Horvath	4	0.000389966417762745	0.000249015367100702	0	4	180
CASZ1	Horvath	4	0.000414338055484004	0.000321514627920735	0	4	181
TMEM132C	Horvath	4	0.000418142896862191	0.00047685211645691	0	4	182
MORN1	Horvath	4	0.000438470763173565	0.000413431630932939	0	4	183
ADCY9	Horvath	4	0.000461929967924842	0.000334616882365356	0	4	184
TENM4	Horvath	4	0.000492237678547553	0.000385362105518111	0	4	185
PLEC	Horvath	4	0.000497247531279458	0.000523192974860446	0	4	186
ARHGEF10L	Horvath	4	0.000508622469150854	0.000419979038379378	0	4	187
PC	Horvath	4	0.000526457284311442	0.000343537919719676	0	4	188
SLC44A4	Horvath	4	0.000547552014057976	0.000289818611882108	0	4	189
ADPRHL1	Horvath	4	0.000617054761567821	0.000303507065568174	0	4	190
SH2D4B	Horvath	4	0.000695373304021988	0.000468571912579191	0	4	191
WDR60	Horvath	4	0.000766410442005037	0.000313575278244989	0	4	192
POLR2A	Horvath	4	0.0016408564297509	0.00020262202335654	0	4	193
HLA-DPB2	Horvath	4	0.00179506327388386	0.000554499626958692	0	4	194
SPOCK2	Horvath	3	7.81326315051293e-06	0.00048290320428265	1	2	195
NADSYN1	Horvath	3	1.46231341022136e-05	0.000362655535716765	0	3	196
