from	to
ADAM12	ADAM23
ADAM12	ADAM23
ADAM12	ADAM15
ADAM12	APBB1IP
ADAM12	AGBL2
ADAM12	ADAM9
ADAM12	AMFR
ADAM12	CD93
ADAM12	CCAR2
ADAM12	AP3B1
ADAM12	CDCP1
ADAM12	APLP1
ADAM15	ADAM8
ADAM15	AXL
ADAM15	AMFR
ADAM15	ADAM12
ADAM15	CD93
ADAM15	ADAM23
ADAM15	ADAM23
ADAM15	CDCP1
ADAM15	ADAM22
ADAM15	APBB1IP
ADAM15	ADAM9
ADAM15	BRD1
ADAM15	AMIGO2
ADAM15	CALCOCO1
ADAM15	ANGPTL2
ADAM22	ADAM12
ADAM22	BRD1
ADAM22	AGBL2
ADAM22	ADAM23
ADAM22	ADAM23
ADAM22	AP3B1
ADAM22	ADAM8
ADAM22	ADAM15
ADAM22	CCAR2
ADAM22	APBB1IP
ADAM22	CD93
ADAM22	ADAM9
ADAM22	BCAN
ADAM22	BRSK2
ADAM22	CDCP1
ADAM23	CDCP1
ADAM23	ADAM9
ADAM23	ADAM8
ADAM23	ADAM12
ADAM23	ADAM22
ADAM23	CD93
ADAM23	ADAMTS1
ADAM23	ADAM15
ADAM23	AMFR
ADAM23	BIRC2
ADAM23	LILRB5
ADAM23	ANGPTL1
ADAM23	AP3B1
ADAM23	BRD1
ADAM23	CDCP1
ADAM23	ADAM9
ADAM23	ADAM8
ADAM23	ADAM12
ADAM23	ADAM22
ADAM23	CD93
ADAM23	ADAMTS1
ADAM23	ADAM15
ADAM23	AMFR
ADAM23	BIRC2
ADAM23	LILRB5
ADAM23	ANGPTL1
ADAM23	AP3B1
ADAM23	BRD1
ADAM8	ADAM15
ADAM8	AXL
ADAM8	AMFR
ADAM8	CD93
ADAM8	CDCP1
ADAM8	ADAM23
ADAM8	ADAM23
ADAM8	ADAM12
ADAM8	ADAM9
ADAM8	ADAM22
ADAM8	AMIGO2
ADAM8	APBB1IP
ADAM8	ANGPTL2
ADAM8	LILRB5
ADAM8	BIRC2
ADAM9	ADAM23
ADAM9	ADAM23
ADAM9	CDCP1
ADAM9	CDH15
ADAM9	ADAMTS1
ADAM9	BIRC2
ADAM9	ADAM8
ADAM9	CEP112
ADAM9	ADAM12
ADAM9	AMFR
ADAM9	CDH3
ADAM9	ANGPTL1
ADAM9	CDHR1
ADAM9	CDH6
ADAM9	ADAM22
ADAMTS1	CEP112
ADAMTS1	CDH15
ADAMTS1	CDCP1
ADAMTS1	ADAM9
ADAMTS1	ADAM23
ADAMTS1	ADAM23
ADAMTS1	AP2B1
ADAMTS1	ADAMTS4
ADAMTS1	CAPN3
ADAMTS1	ATG16L1
ADAMTS1	BIRC2
ADAMTS1	CDHR1
ADAMTS1	CC2D1A
ADAMTS1	AP3B1
ADAMTS1	ADAM8
ADAMTS13	ADGRF5
ADAMTS13	CDAN1
ADAMTS13	CEP112
ADAMTS13	ADAMTS16
ADAMTS13	CADPS
ADAMTS13	ADAMTS1
ADAMTS13	ARHGAP5
ADAMTS13	CDC42BPB
ADAMTS13	ATRN
ADAMTS13	CC2D1A
ADAMTS13	AP3B1
ADAMTS13	CDHR2
ADAMTS13	BRD1
ADAMTS13	CDH15
ADAMTS13	ADAM9
ADAMTS15	CASP1
ADAMTS15	CA11
ADAMTS15	CDH17
ADAMTS15	LDLR
ADAMTS15	ENG
ADAMTS15	SOD3
ADAMTS15	MATN3
ADAMTS15	ACP6
ADAMTS15	SETMAR
ADAMTS15	LEFTY2
ADAMTS15	PZP
ADAMTS15	ITGAV
ADAMTS15	PRELP
ADAMTS15	MXRA8
ADAMTS15	SPINK8
ADAMTS16	ADAMTS13
ADAMTS16	CADPS
ADAMTS16	CEP112
ADAMTS16	CDAN1
ADAMTS16	ATRN
ADAMTS16	ADAMTS1
ADAMTS16	ADGRF5
ADAMTS16	BRD1
ADAMTS16	AXL
ADAMTS16	ADAM15
ADAMTS16	ADAM12
ADAMTS16	ADAM9
ADAMTS16	CDCP1
ADAMTS16	ADAM8
ADAMTS16	ADAM23
ADAMTS4	ADGRG1
ADAMTS4	BMPER
ADAMTS4	C7
ADAMTS4	CDH15
ADAMTS4	ADAMTS1
ADAMTS4	AP1G2
ADAMTS4	BTN1A1
ADAMTS4	AP2B1
ADAMTS4	CAPN3
ADAMTS4	CEP112
ADAMTS4	CAPS
ADAMTS4	ABO
ADAMTS4	APOB
ADAMTS4	AGRN
ADAMTS4	CALB2
ADAMTS8	ADGRE1
ADAMTS8	CCER2
ADAMTS8	ADGRD1
ADAMTS8	CD5
ADAMTS8	CD86
ADAMTS8	CD48
ADAMTS8	ADA2
ADAMTS8	CA7
ADAMTS8	BST2
ADAMTS8	AKR7L
ADAMTS8	BMP4
ADAMTS8	CD28
ADAMTS8	CD80
ADAMTS8	BSG
ADAMTS8	ARNTL
ADAMTSL2	ARSA
ADAMTSL2	BTD
ADAMTSL2	ADAMTSL5
ADAMTSL2	CENPF
ADAMTSL2	ANGPTL3
ADAMTSL2	CCDC28A
ADAMTSL2	ASGR2
ADAMTSL2	C9
ADAMTSL2	ADCYAP1R1
ADAMTSL2	ATXN3
ADAMTSL2	MST1
ADAMTSL2	C1QTNF5
ADAMTSL2	C8B
ADAMTSL2	C1R
ADAMTSL2	CCN4
ADAMTSL4	BCR
ADAMTSL4	CCAR2
ADAMTSL4	BOC
ADAMTSL4	BRDT
ADAMTSL4	CDON
ADAMTSL4	AGBL2
ADAMTSL4	CCDC80
ADAMTSL4	BCAN
ADAMTSL4	BANK1
ADAMTSL4	AFAP1
ADAMTSL4	BRD3
ADAMTSL4	BRSK2
ADAMTSL4	ADAM12
ADAMTSL4	ADAM22
ADAMTSL4	BAG6
ADAMTSL5	ADAMTSL2
ADAMTSL5	ARSA
ADAMTSL5	BTD
ADAMTSL5	CCDC28A
ADAMTSL5	ANGPTL3
ADAMTSL5	CENPF
ADAMTSL5	ADCYAP1R1
ADAMTSL5	C9
ADAMTSL5	C1QTNF5
ADAMTSL5	ATXN3
ADAMTSL5	C1R
ADAMTSL5	ASGR2
ADAMTSL5	MST1
ADAMTSL5	CCN4
ADAMTSL5	C8B
ADCYAP1R1	CCDC28A
ADCYAP1R1	ATXN3
ADCYAP1R1	ADAMTSL5
ADCYAP1R1	ANGPTL3
ADCYAP1R1	C1QTNF5
ADCYAP1R1	C1R
ADCYAP1R1	CCN4
ADCYAP1R1	ADAMTSL2
ADCYAP1R1	CCN2
ADCYAP1R1	ARSA
ADCYAP1R1	C9
ADCYAP1R1	BTD
ADCYAP1R1	CD8A
ADCYAP1R1	ASGR2
ADCYAP1R1	MST1
ADD1	AFAP1
ADD1	CD248
ADD1	C2CD2L
ADD1	BRD3
ADD1	CD2AP
ADD1	CCAR2
ADD1	APP
ADD1	ARMCX2
ADD1	BRDT
ADD1	BOC
ADD1	CDC25A
ADD1	BRSK2
ADD1	BIN2
ADD1	BANK1
ADD1	AZI2
ADGRB3	BCR
ADGRB3	CEP152
ADGRB3	ARHGEF10
ADGRB3	ARHGEF12
ADGRB3	BOC
ADGRB3	ARHGAP5
ADGRB3	CDON
ADGRB3	ADAMTSL4
ADGRB3	CDAN1
ADGRB3	BAG6
ADGRB3	CCAR2
ADGRB3	BRDT
ADGRB3	CCDC80
ADGRB3	BRD1
ADGRB3	AGBL2
ADGRD1	ADA2
ADGRD1	CA7
ADGRD1	CCER2
ADGRD1	AKR7L
ADGRD1	ARNTL
ADGRD1	CD300A
ADGRD1	ARHGAP25
ADGRD1	BMP4
ADGRD1	BRME1
ADGRD1	ADGRV1
ADGRD1	ATP5F1D
ADGRD1	ALMS1
ADGRD1	CALCOCO2
ADGRD1	CD48
ADGRD1	CCN5
ADGRE1	ADAMTS8
ADGRE1	CD5
ADGRE1	CCER2
ADGRE1	BST2
ADGRE1	CD86
ADGRE1	ADGRD1
ADGRE1	CD48
ADGRE1	ADA2
ADGRE1	CA7
ADGRE1	CD28
ADGRE1	AKR7L
ADGRE1	CD80
ADGRE1	CD5L
ADGRE1	CD163
ADGRE1	BMP4
ADGRE2	ADGRE5
ADGRE2	CD101
ADGRE2	BTN2A1
ADGRE2	ACE2
ADGRE2	B4GAT1
ADGRE2	ADA2
ADGRE2	ADGRD1
ADGRE2	CA7
ADGRE2	AKR7L
ADGRE2	TLR3
ADGRE2	MDGA1
ADGRE2	BSG
ADGRE2	AP1G2
ADGRE2	CCER2
ADGRE2	ARNTL
ADGRE5	ADGRE2
ADGRE5	CD101
ADGRE5	AP1G2
ADGRE5	BTN2A1
ADGRE5	CD300A
ADGRE5	AKR7L
ADGRE5	CD276
ADGRE5	ARNTL
ADGRE5	ARHGAP25
ADGRE5	CA7
ADGRE5	ADA2
ADGRE5	ADGRV1
ADGRE5	BRME1
ADGRE5	ATP5F1D
ADGRE5	MDGA1
ADGRF5	ADAMTS13
ADGRF5	CDHR2
ADGRF5	CEP112
ADGRF5	ADAMTS16
ADGRF5	C7
ADGRF5	CADPS
ADGRF5	C5
ADGRF5	CDAN1
